"","date","timedate","mono","TECH","grouptoday","natal","resident.group","mom","obs","tech.parse","switch","rav","fav","name","male","yob","dob","male2","TECH_i","mono_i","grouptoday_i","nonnatal","postmig","post_rf_fizz","post_mk_fizz","post_fl_fizz","post_fizz"
"8878",2003-02-13,(03-02-13 12:33:45),"CA","S","aa","aa","rr","CE","NP","S,P",0,"","","Cassie",1,2000,"8/15/00",2,5,27,1,0,0,0,0,1,1
"8879",2003-02-14,(03-02-14 12:37:25),"CA","OP","aa","aa","rr","CE","NP","OP,S",0,"","","Cassie",1,2000,"8/15/00",2,3,27,1,0,0,0,0,1,1
"88803",2003-02-14,(03-02-14 12:38:25),"TT","W","aa","aa","d","","NP","S,W,S",0,"","","Tattle",0,1982,"5/15/82",1,6,204,1,0,0,0,0,1,1
"56485",2003-02-14,(03-02-14 12:39:16),"MN","LS","aa","aa","u","MM","NP","LS,LS",0,"","","Maranon",1,2001,"4/6/01",2,2,131,1,0,0,0,0,1,1
"98289",2003-02-14,(03-02-14 12:40:00),"YA","OP","aa","aa","rr","OP","NP","OP",0,"","","Yasuni",1,2001,"2/17/01",2,3,225,1,0,0,0,0,1,1
"88805",2003-02-14,(03-02-14 12:41:00),"TT","S","aa","aa","d","","NP","S,S",1,"TU","","Tattle",0,1982,"5/15/82",1,5,204,1,0,0,0,0,1,1
"83",2003-02-14,(03-02-14 12:42:05),"AG","OP","aa","aa","u","NN","NP","S,OP",0,"","","Al Gore",1,1999,"3/15/99",2,3,1,1,0,0,0,0,1,1
"88806",2003-02-14,(03-02-14 12:42:05),"TT","S","aa","aa","d","","NP","S",0,"","","Tattle",0,1982,"5/15/82",1,5,204,1,0,0,0,0,1,1
"88807",2003-02-14,(03-02-14 12:42:05),"TT","S","aa","aa","d","","NP","S",0,"","","Tattle",0,1982,"5/15/82",1,5,204,1,0,0,0,0,1,1
"88860",2003-02-14,(03-02-14 12:42:05),"TU","W","aa","aa","u","TT","NP","W,S,W",0,"","","Toulouse",1,2001,"11/21/01",2,6,205,1,0,0,0,0,1,1
"72263",2003-02-14,(03-02-14 12:44:00),"RA","OP","aa","aa","u","EE","NP","S,OP,OP",0,"","","Rain",1,1999,"5/7/99",2,3,166,1,0,0,0,0,1,1
"88804",2003-02-14,(03-02-14 12:44:00),"TT","OP","aa","aa","d","","NP","OP",0,"","","Tattle",0,1982,"5/15/82",1,3,204,1,0,0,0,0,1,1
"88861",2003-02-14,(03-02-14 12:44:00),"TU","W","aa","aa","u","TT","NP","H",0,"","","Toulouse",1,2001,"11/21/01",2,6,205,1,0,0,0,0,1,1
"88862",2003-02-14,(03-02-14 12:44:00),"TU","W","aa","aa","u","TT","NP","W",0,"","","Toulouse",1,2001,"11/21/01",2,6,205,1,0,0,0,0,1,1
"88863",2003-02-14,(03-02-14 12:44:00),"TU","S","aa","aa","u","TT","NP","S",0,"","","Toulouse",1,2001,"11/21/01",2,5,205,1,0,0,0,0,1,1
"51496",2003-02-15,(03-02-15 07:19:00),"MB","S","rr","rr","rr","MA","TGL","S",0,"","","Mombassa",0,2001,"8/2/01",1,5,122,10,0,0,0,1,0,1
"53695",2003-02-15,(03-02-15 07:32:00),"MH","LS","rr","rr","rr","MA","TGL","LS",0,"","","Mooch",0,1999,"8/15/99",1,2,126,10,0,0,0,1,0,1
